id,url,score,name,rank,n_reviews,city,Utmärkt,Hemskt,tags,Mycket bra,Medelmåttigt,county,Dåligt
1,https://www.tripadvisor.se/Attraction_Review-g1165137-d3546005-Reviews-Escape_Outdoors-Vastra_Frolunda_Vastra_Gotaland_County_West_Coast.html,4.5,Escape Outdoors,1,7,Västra Frölunda,4,0,Uthyrning av utrustning|Vattensporter|Lektioner och seminarier|Kanot- och kajakpaddling|Kurser och seminarier|Rundturer|Vattensport och rundturer med båt|Friluftsaktiviteter|Mer,0,0,Västra Götalands län›,0
2,https://www.tripadvisor.se/Attraction_Review-g3733369-d6979602-Reviews-Sliperiet-Borgvik_Varmland_County.html,4.5,Sliperiet,1,14,Borgvik,6,0,Intressanta platser och landmärken|Sevärdheter och landmärken,1,0,Värmlands län›,0
3,https://www.tripadvisor.se/Attraction_Review-g4560647-d4546408-Reviews-Svansele_Vildmarkscenter-Boliden_Vasterbotten_County.html,4.5,Svansele Vildmarkscenter,1,7,Boliden,1,0,Andra friluftsaktiviteter|Friluftsaktiviteter,2,0,Västerbottens län›,0
4,https://www.tripadvisor.se/Attraction_Review-g8499143-d8491648-Reviews-Dimbo_Gravfalt-Dimbo_Vastra_Gotaland_County_West_Coast.html,3.0,Dimbo Gravfält,1,1,Dimbo,0,0,Historiska platser|Sevärdheter och landmärken,0,1,Västra Götalands län›,0
5,https://www.tripadvisor.se/Attraction_Review-g6756128-d6751355-Reviews-Jernvagsmuseum-Dalhem_Gotland.html,5.0,Jernvägsmuseum,18,8,Dalhem,3,0,Specialmuseer|Museer,2,0,,0
6,https://www.tripadvisor.se/Attraction_Review-g7060259-d7288488-Reviews-Bjuroklubbs_Naturreservat-Lovanger_Vasterbotten_County.html,4.0,Bjuröklubbs Naturreservat,1,6,Lövånger,0,0,Natur- och vildmarksområden|Natur och parker,1,1,Västerbottens län›,0
7,https://www.tripadvisor.se/Attraction_Review-g8652749-d8649734-Reviews-Kagleholms_Slottsruin-Glanshammar_Orebro_County.html,4.0,Kägleholms Slottsruin,1,1,Glanshammar,0,0,Slott|Historiska platser|Forntida ruiner|Sevärdheter och landmärken|Mer,1,0,Örebro län›,0
8,https://www.tripadvisor.se/Attraction_Review-g8652744-d8649730-Reviews-Ags_bruk-Svardsjo_Dalarna_County.html,4.0,Ags bruk,1,1,Svärdsjö,0,0,Natursköna promenadområden|Historiska platser|Gruvor|Sevärdheter och landmärken|Mer,1,0,Dalarnas län›,0
9,https://www.tripadvisor.se/Attraction_Review-g6932263-d6931463-Reviews-Handolforsarna-Handol_Jamtland_County_Jamtland_and_Harjedalen.html,5.0,Handölforsarna,1,1,Handöl,1,0,Andra friluftsaktiviteter|Friluftsaktiviteter,0,0,Jämtlands län›,0
10,https://www.tripadvisor.se/Attraction_Review-g5600007-d5566965-Reviews-Dannemora_Gruvor-Dannemora_Uppsala_County.html,4.5,Dannemora Gruvor,1,4,Dannemora,0,0,Intressanta platser och landmärken|Sevärdheter och landmärken,1,0,Uppsala län›,0
11,https://www.tripadvisor.se/Attraction_Review-g4559638-d8531074-Reviews-Vilt_Gott-Vejbystrand_Skane_County.html,,Vilt & Gott,1,,Vejbystrand,,,Övrig mat och dryck|Souvenir- och specialaffärer|Shopping|Mat och dryck,,,Skåne län›,
12,https://www.tripadvisor.se/Attraction_Review-g1060680-d4341866-Reviews-Smakvandring-Genarp_Skane_County.html,4.0,Smakvandring,1,4,Genarp,0,0,Övrig mat och dryck|Mat och dryck,4,0,Skåne län›,0
13,https://www.tripadvisor.se/Attraction_Review-g2670451-d3962001-Reviews-Mantorp_Glasbruk-Mantorp_Ostergotland_County.html,5.0,Mantorp Glasbruk,1,4,Mantorp,4,0,Fabriksrundturer|Rundturer,0,0,Östergötlands län›,0
14,https://www.tripadvisor.se/Attraction_Review-g8499166-d8491664-Reviews-Kopmannebro_Sluss-Kopmannebro_Vastra_Gotaland_County_West_Coast.html,5.0,Köpmannebro sluss,1,3,Köpmannebro,2,0,Vattendrag|Intressanta platser och landmärken|Natur och parker|Sevärdheter och landmärken,0,0,Västra Götalands län›,0
15,https://www.tripadvisor.se/Attraction_Review-g8499171-d8491671-Reviews-Ods_Kyrka-Od_Vastra_Gotaland_County_West_Coast.html,4.0,Ods Kyrka,1,1,Od,0,0,Kyrkor och katedraler|Sevärdheter och landmärken,1,0,Västra Götalands län›,0
16,https://www.tripadvisor.se/Attraction_Review-g3228500-d9980781-Reviews-Dalslands_aktiviteter-Dals_Langed_Vastra_Gotaland_County_West_Coast.html,5.0,Dalslands aktiviteter,1,3,Dals Långed,3,0,Andra friluftsaktiviteter|Zipline och höghöjdsparker|Adrenalin- och extremturer|Ridturer|Friluftsaktiviteter|Rundturer|Mer,0,0,Västra Götalands län›,0
17,https://www.tripadvisor.se/Attraction_Review-g3228507-d7984731-Reviews-Algafallet-Bullaren_Vastra_Gotaland_County_West_Coast.html,4.0,Älgafallet,1,1,Bullaren,0,0,Vattenfall|Natur och parker,1,0,Västra Götalands län›,0
18,https://www.tripadvisor.se/Attraction_Review-g652152-d1961539-Reviews-Ice_Driver-Bracke_Jamtland_County_Jamtland_and_Harjedalen.html,,Ice Driver,1,,Bräcke,,,Racingbanor|Sevärdheter och landmärken,,,Jämtlands län›,
